Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg)
00:00:00.000+05:30,00:15:00.000+05:30,,19.200520957509678,,,,67.0,71.0,65.0,,,,52,,,
00:15:00.000+05:30,00:30:00.000+05:30,,19.200520957509678,,,,69.25,81.0,65.0,,,,52,,,
00:30:00.000+05:30,00:45:00.000+05:30,,19.200520957509678,,,,68.25,70.0,66.0,,,,52,,,
00:45:00.000+05:30,01:00:00.000+05:30,,19.200520957509678,,,,66.5,68.0,66.0,,,,52,,,
01:00:00.000+05:30,01:15:00.000+05:30,,19.200520957509678,,,,63.5,65.0,62.0,,,,52,,,
01:15:00.000+05:30,01:30:00.000+05:30,,19.200520957509678,,,,57.75,61.0,56.0,,,,52,,,
01:30:00.000+05:30,01:45:00.000+05:30,,19.200520957509678,,,,63.25,65.0,60.0,,,,52,,,
01:45:00.000+05:30,02:00:00.000+05:30,,19.200520957509678,,,,67.5,79.0,61.0,,,,52,,,
02:00:00.000+05:30,02:15:00.000+05:30,,19.200520957509678,,,,79.0,118.0,66.0,,,,52,,,
02:15:00.000+05:30,02:30:00.000+05:30,,19.200520957509678,,,,62.75,74.0,57.0,,,,52,,,
02:30:00.000+05:30,02:45:00.000+05:30,,19.200520957509678,,,,61.0,62.0,59.0,,,,52,,,
02:45:00.000+05:30,03:00:00.000+05:30,,19.200520957509678,,,,66.5,77.0,63.0,,,,52,,,
03:00:00.000+05:30,03:15:00.000+05:30,,19.200520957509678,,,,61.5,64.0,58.0,,,,52,,,
03:15:00.000+05:30,03:30:00.000+05:30,,19.200520957509678,,,,66.25,73.0,56.0,,,,52,,,
03:30:00.000+05:30,03:45:00.000+05:30,,19.200520957509678,,,,72.25,81.0,61.0,,,,52,,,
03:45:00.000+05:30,04:00:00.000+05:30,,19.200520957509678,,,,66.5,69.0,64.0,,,,52,,,
04:00:00.000+05:30,04:15:00.000+05:30,,19.200520957509678,,,,70.5,83.0,57.0,,,,52,,,
04:15:00.000+05:30,04:30:00.000+05:30,,19.200520957509678,,,,57.5,59.0,57.0,,,,52,,,
04:30:00.000+05:30,04:45:00.000+05:30,,19.200520957509678,,,,56.25,61.0,53.0,,,,52,,,
04:45:00.000+05:30,05:00:00.000+05:30,,19.200520957509678,,,,72.0,97.0,60.0,,,,52,,,
05:00:00.000+05:30,05:15:00.000+05:30,,19.200520957509678,,,,59.5,60.0,59.0,,,,52,,,
05:15:00.000+05:30,05:30:00.000+05:30,,19.200520957509678,,,,60.25,63.0,56.0,,,,52,,,
05:30:00.000+05:30,05:45:00.000+05:30,,19.200520957509678,,,,59.25,60.0,59.0,,,,52,,,
05:45:00.000+05:30,06:00:00.000+05:30,,19.200520957509678,,,,71.25,75.0,60.0,,,,52,,,
06:00:00.000+05:30,06:15:00.000+05:30,,19.200520957509678,,,,,,,,,,52,,,
06:15:00.000+05:30,06:30:00.000+05:30,,19.200520957509678,,,,,,,,,,52,,,
06:30:00.000+05:30,06:45:00.000+05:30,,19.200520957509678,,,,,,,,,,52,,,
06:45:00.000+05:30,07:00:00.000+05:30,,19.200520957509678,,,,,,,,,,52,,,
07:00:00.000+05:30,07:15:00.000+05:30,,19.200520957509678,,,,,,,,,,52,,,
07:15:00.000+05:30,07:30:00.000+05:30,,19.200520957509678,,,,,,,,,,52,,,
07:30:00.000+05:30,07:45:00.000+05:30,,19.200520957509678,,,,94.0,94.0,94.0,,,,52,,,
07:45:00.000+05:30,08:00:00.000+05:30,,19.200520957509678,,,,89.75,105.0,78.0,,,,71,,,
08:00:00.000+05:30,08:15:00.000+05:30,,19.200520957509678,,,,79.0,93.0,71.0,,,,148,,,
08:15:00.000+05:30,08:30:00.000+05:30,,19.200520957509678,,,,96.5,100.0,93.0,,,,148,,,
08:30:00.000+05:30,08:45:00.000+05:30,,19.200520957509678,,,,82.0,85.0,79.0,,,,148,,,
08:45:00.000+05:30,09:00:00.000+05:30,,19.200520957509678,,,,77.75,81.0,76.0,,,,121,,,
09:00:00.000+05:30,09:15:00.000+05:30,,19.20052095750968,,,,80.0,90.0,72.0,,,,6,,,
09:15:00.000+05:30,09:30:00.000+05:30,,19.20052095750968,,,,80.75,83.0,76.0,,,,6,,,
09:30:00.000+05:30,09:45:00.000+05:30,,19.20052095750968,,,,84.75,86.0,83.0,,,,6,,,
09:45:00.000+05:30,10:00:00.000+05:30,,15.716138417613871,,,,95.0,103.0,83.0,,,,5,,,
10:00:00.000+05:30,10:15:00.000+05:30,,,,,,85.0,85.0,85.0,,,,,,,
10:15:00.000+05:30,10:30:00.000+05:30,,,,,,,,,,,,,,,
10:30:00.000+05:30,10:45:00.000+05:30,,,,,,,,,,,,,,,
10:45:00.000+05:30,11:00:00.000+05:30,,,,,,,,,,,,,,,
11:00:00.000+05:30,11:15:00.000+05:30,,,,,,,,,,,,,,,
11:15:00.000+05:30,11:30:00.000+05:30,,,,,,,,,,,,,,,
11:30:00.000+05:30,11:45:00.000+05:30,,,,,,,,,,,,,,,
11:45:00.000+05:30,12:00:00.000+05:30,,,,,,,,,,,,,,,
12:00:00.000+05:30,12:15:00.000+05:30,,,,,,,,,,,,,,,
12:15:00.000+05:30,12:30:00.000+05:30,,,,,,,,,,,,,,,
12:30:00.000+05:30,12:45:00.000+05:30,,,,,,,,,,,,,,,
12:45:00.000+05:30,13:00:00.000+05:30,,,,,,,,,,,,,,,
13:00:00.000+05:30,13:15:00.000+05:30,,,,,,,,,,,,,,,
13:15:00.000+05:30,13:30:00.000+05:30,,,,,,,,,,,,,,,
13:30:00.000+05:30,13:45:00.000+05:30,,,,,,,,,,,,,,,
13:45:00.000+05:30,14:00:00.000+05:30,,,,,,,,,,,,,,,
14:00:00.000+05:30,14:15:00.000+05:30,,,,,,,,,,,,,,,
14:15:00.000+05:30,14:30:00.000+05:30,,,,,,,,,,,,,,,
14:30:00.000+05:30,14:45:00.000+05:30,,,,,,,,,,,,,,,
14:45:00.000+05:30,15:00:00.000+05:30,,,,,,,,,,,,,,,
15:00:00.000+05:30,15:15:00.000+05:30,,,,,,,,,,,,,,,
15:15:00.000+05:30,15:30:00.000+05:30,,,,,,,,,,,,,,,
15:30:00.000+05:30,15:45:00.000+05:30,,,,,,,,,,,,,,,
15:45:00.000+05:30,16:00:00.000+05:30,,,,,,,,,,,,,,,
16:00:00.000+05:30,16:15:00.000+05:30,,,,,,,,,,,,,,,
16:15:00.000+05:30,16:30:00.000+05:30,,,,,,,,,,,,,,,
16:30:00.000+05:30,16:45:00.000+05:30,,,,,,,,,,,,,,,
16:45:00.000+05:30,17:00:00.000+05:30,,,,,,,,,,,,,,,
17:00:00.000+05:30,17:15:00.000+05:30,,,,,,,,,,,,,,,
17:15:00.000+05:30,17:30:00.000+05:30,,,,,,,,,,,,,,,
17:30:00.000+05:30,17:45:00.000+05:30,,,,,,,,,,,,,,,
17:45:00.000+05:30,18:00:00.000+05:30,,,,,,,,,,,,,,,
18:00:00.000+05:30,18:15:00.000+05:30,,,,,,,,,,,,,,,
18:15:00.000+05:30,18:30:00.000+05:30,,,,,,,,,,,,,,,
