Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg)
00:00:00.000+05:30,00:15:00.000+05:30,,19.200520957509678,,,,,,,,,,2,,,
00:15:00.000+05:30,00:30:00.000+05:30,,19.200520957509678,,,,86.5,96.0,82.0,,,,2,,,
00:30:00.000+05:30,00:45:00.000+05:30,,19.200520957509678,,,,80.25,82.0,76.0,,,,2,,,
00:45:00.000+05:30,01:00:00.000+05:30,,19.200520957509678,,,,72.5,82.0,68.0,,,,2,,,
01:00:00.000+05:30,01:15:00.000+05:30,,19.200520957509678,,,,72.5,74.0,72.0,,,,2,,,
01:15:00.000+05:30,01:30:00.000+05:30,,19.200520957509678,,,,74.5,76.0,72.0,,,,2,,,
01:30:00.000+05:30,01:45:00.000+05:30,,19.200520957509678,,,,87.5,91.0,78.0,,,,2,,,
01:45:00.000+05:30,02:00:00.000+05:30,,19.200520957509678,,,,86.75,93.0,84.0,,,,2,,,
02:00:00.000+05:30,02:15:00.000+05:30,,19.200520957509678,,,,69.5,77.0,64.0,,,,2,,,
02:15:00.000+05:30,02:30:00.000+05:30,,19.200520957509678,,,,65.25,67.0,64.0,,,,2,,,
02:30:00.000+05:30,02:45:00.000+05:30,,19.200520957509678,,,,64.25,73.0,60.0,,,,2,,,
02:45:00.000+05:30,03:00:00.000+05:30,,19.200520957509678,,,,59.0,59.0,59.0,,,,2,,,
03:00:00.000+05:30,03:15:00.000+05:30,,19.200520957509678,,,,57.5,59.0,57.0,,,,2,,,
03:15:00.000+05:30,03:30:00.000+05:30,,19.200520957509678,,,,57.75,58.0,57.0,,,,2,,,
03:30:00.000+05:30,03:45:00.000+05:30,,19.200520957509678,,,,69.5,79.0,59.0,,,,2,,,
03:45:00.000+05:30,04:00:00.000+05:30,,19.200520957509678,,,,55.5,58.0,54.0,,,,2,,,
04:00:00.000+05:30,04:15:00.000+05:30,,19.200520957509678,,,,60.5,76.0,54.0,,,,2,,,
04:15:00.000+05:30,04:30:00.000+05:30,,19.200520957509678,,,,55.5,56.0,55.0,,,,2,,,
04:30:00.000+05:30,04:45:00.000+05:30,,19.200520957509678,,,,53.0,58.0,50.0,,,,2,,,
04:45:00.000+05:30,05:00:00.000+05:30,,19.200520957509678,,,,57.0,59.0,53.0,,,,2,,,
05:00:00.000+05:30,05:15:00.000+05:30,,19.200520957509678,,,,61.5,66.0,53.0,,,,2,,,
05:15:00.000+05:30,05:30:00.000+05:30,,19.200520957509678,,,,67.75,93.0,54.0,,,,2,,,
05:30:00.000+05:30,05:45:00.000+05:30,,19.200520957509678,,,,63.25,76.0,49.0,,,,2,,,
05:45:00.000+05:30,06:00:00.000+05:30,,19.200520957509678,,,,53.0,56.0,52.0,,,,2,,,
06:00:00.000+05:30,06:15:00.000+05:30,,19.200520957509678,,,,53.5,54.0,52.0,,,,2,,,
06:15:00.000+05:30,06:30:00.000+05:30,,19.200520957509678,,,,54.75,59.0,53.0,,,,2,,,
06:30:00.000+05:30,06:45:00.000+05:30,,19.200520957509678,,,,53.0,57.0,51.0,,,,2,,,
06:45:00.000+05:30,07:00:00.000+05:30,,19.200520957509678,,,,54.5,57.0,53.0,,,,2,,,
07:00:00.000+05:30,07:15:00.000+05:30,,19.200520957509678,,,,61.0,70.0,54.0,,,,2,,,
07:15:00.000+05:30,07:30:00.000+05:30,,19.200520957509678,,,,52.75,54.0,49.0,,,,2,,,
07:30:00.000+05:30,07:45:00.000+05:30,,19.200520957509678,,,,60.0,62.0,58.0,,,,2,,,
07:45:00.000+05:30,08:00:00.000+05:30,,19.200520957509678,,,,61.5,73.0,57.0,,,,2,,,
08:00:00.000+05:30,08:15:00.000+05:30,,19.200520957509678,,,,68.75,83.0,63.0,,,,2,,,
08:15:00.000+05:30,08:30:00.000+05:30,,19.200520957509678,,,,69.5,97.0,53.0,,,,2,,,
