Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg)
14:30:00.000+05:30,14:45:00.000+05:30,,19.200520957509678,,,,,,,,,,7,,,
14:45:00.000+05:30,15:00:00.000+05:30,,19.200520957509678,,,,,,,,,,7,,,
15:00:00.000+05:30,15:15:00.000+05:30,,19.200520957509678,,,,,,,,,,7,,,
15:15:00.000+05:30,15:30:00.000+05:30,,19.200520957509678,,,,,,,,,,7,,,
15:30:00.000+05:30,15:45:00.000+05:30,,19.200520957509678,,,,,,,,,,7,,,
15:45:00.000+05:30,16:00:00.000+05:30,,19.200520957509678,,,,,,,,,,7,,,
16:00:00.000+05:30,16:15:00.000+05:30,,19.200520957509678,,,,,,,,,,7,,,
16:15:00.000+05:30,16:30:00.000+05:30,,19.200520957509678,,,,,,,,,,7,,,
16:30:00.000+05:30,16:45:00.000+05:30,,19.200520957509674,,,,83.5,90.0,70.0,,,,69,,,
16:45:00.000+05:30,17:00:00.000+05:30,,19.200520957509674,,,,95.0,95.0,95.0,,,,182,,,
17:00:00.000+05:30,17:15:00.000+05:30,,19.200520957509674,,,,89.25,92.0,87.0,,,,182,,,
17:15:00.000+05:30,17:30:00.000+05:30,,19.200520957509674,,,,86.25,92.0,73.0,,,,174,,,
17:30:00.000+05:30,17:45:00.000+05:30,,19.200520957509678,,,,89.75,93.0,85.0,,,,141,,,
17:45:00.000+05:30,18:00:00.000+05:30,,19.200520957509678,,,,84.0,86.0,78.0,,,,141,,,
18:00:00.000+05:30,18:15:00.000+05:30,,19.200520957509678,,,,81.5,88.0,78.0,,,,141,,,
18:15:00.000+05:30,18:30:00.000+05:30,,19.200520957509678,,,,88.25,100.0,82.0,,,,141,,,
18:30:00.000+05:30,18:45:00.000+05:30,,19.200520957509674,,,,85.75,99.0,74.0,,,,83,,,
18:45:00.000+05:30,19:00:00.000+05:30,,19.200520957509678,,,,72.25,74.0,71.0,,,,13,,,
19:00:00.000+05:30,19:15:00.000+05:30,,19.200520957509678,,,,83.5,98.0,75.0,,,,13,,,
19:15:00.000+05:30,19:30:00.000+05:30,,19.200520957509678,,,,82.25,86.0,77.0,,,,13,,,
19:30:00.000+05:30,19:45:00.000+05:30,,19.200520957509678,,,,72.5,77.0,68.0,,,,13,,,
19:45:00.000+05:30,20:00:00.000+05:30,,19.200520957509674,,,,79.0,79.0,79.0,,,,7,,,
20:00:00.000+05:30,20:15:00.000+05:30,,19.200520957509674,,,,85.5,90.0,72.0,,,,7,,,
20:15:00.000+05:30,20:30:00.000+05:30,,19.200520957509674,,,,79.75,84.0,77.0,,,,7,,,
20:30:00.000+05:30,20:45:00.000+05:30,,19.200520957509674,,,,86.5,93.0,78.0,,,,7,,,
20:45:00.000+05:30,21:00:00.000+05:30,,19.200520957509674,,,,91.0,96.0,82.0,,,,21,,,
21:00:00.000+05:30,21:15:00.000+05:30,,19.200520957509678,,,,89.75,100.0,80.0,,,,23,,,
21:15:00.000+05:30,21:30:00.000+05:30,,19.200520957509678,,,,97.25,104.0,87.0,,,,23,,,
21:30:00.000+05:30,21:45:00.000+05:30,,19.200520957509678,,,,95.0,100.0,86.0,,,,23,,,
21:45:00.000+05:30,22:00:00.000+05:30,,19.200520957509678,,,,89.75,95.0,78.0,,,,7,,,
22:00:00.000+05:30,22:15:00.000+05:30,,19.200520957509674,,,,97.0,101.0,93.0,,,,4,,,
22:15:00.000+05:30,22:30:00.000+05:30,,19.200520957509674,,,,88.25,94.0,79.0,,,,4,,,
22:30:00.000+05:30,22:45:00.000+05:30,,19.200520957509674,,,,85.0,88.0,84.0,,,,4,,,
22:45:00.000+05:30,23:00:00.000+05:30,,19.200520957509674,,,,84.25,97.0,79.0,,,,4,,,
23:00:00.000+05:30,23:15:00.000+05:30,,19.200520957509674,,,,86.0,89.0,81.0,,,,4,,,
23:15:00.000+05:30,23:30:00.000+05:30,,19.200520957509674,,,,77.75,85.0,74.0,,,,4,,,
23:30:00.000+05:30,23:45:00.000+05:30,,19.200520957509674,,,,90.0,90.0,90.0,,,,4,,,
23:45:00.000+05:30,00:00:00.000+05:30,,19.200520957509678,,,,95.0,96.0,94.0,,,,2,,,
