Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Walking duration (ms),Strength training duration (ms)
00:00:00.000+05:30,00:15:00.000+05:30,,19.200520957509678,,,,66.0,66.0,66.0,,,,11,,,,,
00:15:00.000+05:30,00:30:00.000+05:30,,19.200520957509678,,,,65.5,66.0,64.0,,,,12,,,,,
00:30:00.000+05:30,00:45:00.000+05:30,,19.200520957509678,,,,67.25,68.0,66.0,,,,12,,,,,
00:45:00.000+05:30,01:00:00.000+05:30,,19.200520957509678,,,,66.25,69.0,64.0,,,,12,,,,,
01:00:00.000+05:30,01:15:00.000+05:30,,19.200520957509678,,,,66.0,67.0,65.0,,,,12,,,,,
01:15:00.000+05:30,01:30:00.000+05:30,,19.200520957509678,,,,67.0,70.0,64.0,,,,12,,,,,
01:30:00.000+05:30,01:45:00.000+05:30,,19.200520957509678,,,,69.75,72.0,63.0,,,,12,,,,,
01:45:00.000+05:30,02:00:00.000+05:30,,19.200520957509678,,,,61.25,62.0,61.0,,,,12,,,,,
02:00:00.000+05:30,02:15:00.000+05:30,,19.200520957509678,,,,62.75,64.0,61.0,,,,12,,,,,
02:15:00.000+05:30,02:30:00.000+05:30,,19.200520957509678,,,,69.25,91.0,61.0,,,,12,,,,,
02:30:00.000+05:30,02:45:00.000+05:30,,19.200520957509678,,,,60.0,62.0,58.0,,,,12,,,,,
02:45:00.000+05:30,03:00:00.000+05:30,,19.200520957509678,,,,60.0,64.0,56.0,,,,12,,,,,
03:00:00.000+05:30,03:15:00.000+05:30,,19.200520957509678,,,,58.25,60.0,57.0,,,,12,,,,,
03:15:00.000+05:30,03:30:00.000+05:30,,19.200520957509678,,,,58.25,59.0,57.0,,,,12,,,,,
03:30:00.000+05:30,03:45:00.000+05:30,,19.200520957509678,,,,61.0,66.0,59.0,,,,12,,,,,
03:45:00.000+05:30,04:00:00.000+05:30,,19.200520957509678,,,,54.5,56.0,53.0,,,,12,,,,,
04:00:00.000+05:30,04:15:00.000+05:30,,19.200520957509678,,,,57.25,60.0,55.0,,,,12,,,,,
04:15:00.000+05:30,04:30:00.000+05:30,,19.200520957509678,,,,61.0,66.0,59.0,,,,12,,,,,
04:30:00.000+05:30,04:45:00.000+05:30,,19.200520957509678,,,,60.0,66.0,58.0,,,,12,,,,,
04:45:00.000+05:30,05:00:00.000+05:30,,19.200520957509678,,,,58.25,60.0,57.0,,,,12,,,,,
05:00:00.000+05:30,05:15:00.000+05:30,,19.200520957509678,,,,55.25,57.0,54.0,,,,12,,,,,
05:15:00.000+05:30,05:30:00.000+05:30,,19.200520957509678,,,,64.0,80.0,58.0,,,,12,,,,,
05:30:00.000+05:30,05:45:00.000+05:30,,19.200520957509678,,,,64.0,71.0,57.0,,,,12,,,,,
05:45:00.000+05:30,06:00:00.000+05:30,,19.200520957509678,,,,68.0,81.0,52.0,,,,12,,,,,
06:00:00.000+05:30,06:15:00.000+05:30,,19.200520957509678,,,,55.75,58.0,53.0,,,,12,,,,,
06:15:00.000+05:30,06:30:00.000+05:30,,19.200520957509678,,,,,,,,,,12,,,,,
06:30:00.000+05:30,06:45:00.000+05:30,,19.200520957509678,,,,,,,,,,12,,,,,
06:45:00.000+05:30,07:00:00.000+05:30,,19.200520957509678,,,,,,,,,,12,,,,,
07:00:00.000+05:30,07:15:00.000+05:30,,19.200520957509678,,,,,,,,,,12,,,,,
07:15:00.000+05:30,07:30:00.000+05:30,,19.200520957509678,,,,,,,,,,12,,,,,
07:30:00.000+05:30,07:45:00.000+05:30,,19.200520957509678,,,,,,,,,,12,,,,,
07:45:00.000+05:30,08:00:00.000+05:30,,19.200520957509678,,,,,,,,,,12,,,,,
