Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Walking duration (ms),Strength training duration (ms)
00:00:00.000+05:30,00:15:00.000+05:30,,19.200520957509674,,,,86.0,106.0,74.0,,,,45,,,,,
00:15:00.000+05:30,00:30:00.000+05:30,,19.200520957509674,,,,77.25,80.0,76.0,,,,45,,,,,
00:30:00.000+05:30,00:45:00.000+05:30,,19.200520957509674,,,,78.75,90.0,75.0,,,,45,,,,,
00:45:00.000+05:30,01:00:00.000+05:30,,19.200520957509674,,,,79.0,83.0,71.0,,,,45,,,,,
01:00:00.000+05:30,01:15:00.000+05:30,,19.200520957509674,,,,75.0,84.0,70.0,,,,45,,,,,
01:15:00.000+05:30,01:30:00.000+05:30,,19.200520957509674,,,,70.5,72.0,67.0,,,,45,,,,,
01:30:00.000+05:30,01:45:00.000+05:30,,19.200520957509674,,,,76.0,77.0,75.0,,,,45,,,,,
01:45:00.000+05:30,02:00:00.000+05:30,,19.200520957509674,,,,73.75,76.0,73.0,,,,45,,,,,
02:00:00.000+05:30,02:15:00.000+05:30,,19.200520957509674,,,,74.75,93.0,67.0,,,,45,,,,,
02:15:00.000+05:30,02:30:00.000+05:30,,19.200520957509674,,,,73.25,93.0,66.0,,,,45,,,,,
02:30:00.000+05:30,02:45:00.000+05:30,,19.200520957509674,,,,62.25,63.0,61.0,,,,45,,,,,
02:45:00.000+05:30,03:00:00.000+05:30,,19.200520957509674,,,,71.75,89.0,66.0,,,,45,,,,,
03:00:00.000+05:30,03:15:00.000+05:30,,19.200520957509674,,,,69.5,77.0,61.0,,,,45,,,,,
03:15:00.000+05:30,03:30:00.000+05:30,,19.200520957509674,,,,76.25,82.0,72.0,,,,45,,,,,
03:30:00.000+05:30,03:45:00.000+05:30,,19.200520957509674,,,,66.25,68.0,64.0,,,,45,,,,,
03:45:00.000+05:30,04:00:00.000+05:30,,19.200520957509674,,,,58.0,63.0,54.0,,,,45,,,,,
04:00:00.000+05:30,04:15:00.000+05:30,,19.200520957509674,,,,63.5,68.0,62.0,,,,45,,,,,
04:15:00.000+05:30,04:30:00.000+05:30,,19.200520957509674,,,,56.0,58.0,55.0,,,,45,,,,,
04:30:00.000+05:30,04:45:00.000+05:30,,19.200520957509674,,,,59.0,60.0,58.0,,,,45,,,,,
04:45:00.000+05:30,05:00:00.000+05:30,,19.200520957509674,,,,60.5,67.0,58.0,,,,45,,,,,
05:00:00.000+05:30,05:15:00.000+05:30,,19.200520957509674,,,,55.75,57.0,55.0,,,,45,,,,,
